Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility_Percentage,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRL11,10.5,Low Fat,0.05,Hard Drinks,159.09,OUT045,2002,,Tier 2,Supermarket Type1,4102.66
FDN52,,Regular,0.13,Frozen Foods,86.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,1569.96
FDF21,10.3,Regular,0.1,Fruits and Vegetables,188.65,OUT010,1998,,Tier 3,Grocery Store,189.75
FDS51,13.35,Low Fat,0.03,Meat,61.42,OUT049,1999,Medium,Tier 1,Supermarket Type1,743.03
FDE45,12.1,Low Fat,0.04,Fruits and Vegetables,177.8,OUT046,1997,Small,Tier 1,Supermarket Type1,1611.9
FDX50,20.1,Low Fat,0.08,Dairy,108.72,OUT035,2004,Small,Tier 2,Supermarket Type1,1215.75
NCN14,,Low Fat,0.16,Others,184.26,OUT019,1985,Small,Tier 1,Grocery Store,367.52
FDQ21,21.25,Low Fat,0.02,Snack Foods,120.88,OUT018,2009,Medium,Tier 3,Supermarket Type2,3150.57
FDL38,,Regular,0.03,Canned,88.42,OUT019,1985,Small,Tier 1,Grocery Store,89.22
DRL37,15.5,Low Fat,0.05,Soft Drinks,41.58,OUT035,2004,Small,Tier 2,Supermarket Type1,735.71
FDZ39,19.7,Regular,0.02,Meat,101.8,OUT017,2007,,Tier 2,Supermarket Type1,1135.19
FDH10,21,Low Fat,0.05,Snack Foods,195.05,OUT013,1987,High,Tier 3,Supermarket Type1,1549.98
FDS35,,Low Fat,0.11,Breads,63.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,1033.32
FDN21,,Low Fat,0.08,Snack Foods,163.12,OUT027,1985,Medium,Tier 3,Supermarket Type3,2416.85
NCO18,13.15,Low Fat,0.03,Household,176.87,OUT045,2002,,Tier 2,Supermarket Type1,2133.22
FDD05,19.35,Low Fat,0.02,Frozen Foods,121.51,OUT013,1987,High,Tier 3,Supermarket Type1,2892.24
FDX59,,Low Fat,0.05,Breads,33.06,OUT027,1985,Medium,Tier 3,Supermarket Type3,984.72
FDZ23,17.75,Regular,0.11,Baking Goods,185.42,OUT010,1998,,Tier 3,Grocery Store,745.7
FDX27,20.7,Regular,0.11,Dairy,92.74,OUT046,1997,Small,Tier 1,Supermarket Type1,1323.61
FDR14,11.65,Low Fat,0.18,Dairy,55.53,OUT017,2007,,Tier 2,Supermarket Type1,647.16
FDZ56,16.25,Low Fat,0.03,Fruits and Vegetables,168.15,OUT013,1987,High,Tier 3,Supermarket Type1,1516.03
NCL55,12.15,Low Fat,0.07,Others,253.7,OUT017,2007,,Tier 2,Supermarket Type1,5060.08
FDD59,10.5,Regular,0.07,Starchy Foods,78.3,OUT045,2002,,Tier 2,Supermarket Type1,2157.19
DRF23,4.61,Low Fat,0.21,Hard Drinks,172.84,OUT010,1998,,Tier 3,Grocery Store,174.44
FDT49,7,Low Fat,0.15,Canned,105.73,OUT017,2007,,Tier 2,Supermarket Type1,1278.34
FDH22,6.405,Low Fat,0.14,Snack Foods,128.17,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.34
FDT34,9.3,Low Fat,0.18,Snack Foods,104.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,1998.73
FDB39,11.6,Low Fat,0.04,Dairy,57.93,OUT045,2002,,Tier 2,Supermarket Type1,615.2
FDQ22,16.75,Low Fat,0.03,Snack Foods,39.18,OUT045,2002,,Tier 2,Supermarket Type1,314.26
NCN43,12.15,Low Fat,0.01,Others,122.97,OUT010,1998,,Tier 3,Grocery Store,123.17
FDG57,14.7,Low Fat,0.07,Fruits and Vegetables,48.2,OUT049,1999,Medium,Tier 1,Supermarket Type1,1020.67
FDU22,,Low Fat,0.16,Snack Foods,120.21,OUT019,1985,Small,Tier 1,Grocery Store,474.05
NCC43,7.39,Low Fat,0.09,Household,250.91,OUT017,2007,,Tier 2,Supermarket Type1,1506.04
FDP01,20.75,Regular,0.11,Breakfast,150.57,OUT010,1998,,Tier 3,Grocery Store,762.34
FDF52,9.3,Low Fat,0.07,Frozen Foods,184.23,OUT018,2009,Medium,Tier 3,Supermarket Type2,1277
FDZ33,10.195,Low Fat,0.11,Snack Foods,147.61,OUT035,2004,Small,Tier 2,Supermarket Type1,3547.38
FDP48,,Regular,0.04,Baking Goods,181.4,OUT027,1985,Medium,Tier 3,Supermarket Type3,6042.14
FDW56,7.68,Low Fat,0.12,Fruits and Vegetables,192.22,OUT010,1998,,Tier 3,Grocery Store,384.83
FDC26,10.195,Low Fat,0.13,Canned,110.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,1223.07
FDF34,9.3,Regular,0.01,Snack Foods,200.01,OUT018,2009,Medium,Tier 3,Supermarket Type2,2182.49
FDD04,16,Low Fat,0.09,Dairy,143.22,OUT045,2002,,Tier 2,Supermarket Type1,1418.15
NCJ31,19.2,Low Fat,0.18,Others,239.22,OUT013,1987,High,Tier 3,Supermarket Type1,5061.41
FDO57,20.75,Low Fat,0.11,Snack Foods,161.76,OUT046,1997,Small,Tier 1,Supermarket Type1,2888.24
FDM36,,Regular,0.06,Baking Goods,172.14,OUT027,1985,Medium,Tier 3,Supermarket Type3,5518.15
NCY05,13.5,Low Fat,0.06,Health and Hygiene,35.29,OUT046,1997,Small,Tier 1,Supermarket Type1,741.04
DRK11,8.21,Low Fat,0.01,Hard Drinks,150.84,OUT013,1987,High,Tier 3,Supermarket Type1,2982.78
NCL30,18.1,Low Fat,0.05,Household,127.33,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5
DRJ39,20.25,Low Fat,0.04,Dairy,219.35,OUT035,2004,Small,Tier 2,Supermarket Type1,5038.11
NCP06,,Low Fat,0.04,Household,152.34,OUT027,1985,Medium,Tier 3,Supermarket Type3,2115.91
FDZ44,8.185,Low Fat,0.04,Fruits and Vegetables,115.68,OUT049,1999,Medium,Tier 1,Supermarket Type1,703.08
FDV46,18.2,Low Fat,0.01,Snack Foods,140.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,2656.54
DRG03,14.5,Low Fat,0.06,Dairy,154.5,OUT013,1987,High,Tier 3,Supermarket Type1,1691.8
FDU37,9.5,Regular,0.1,Canned,80.2,OUT013,1987,High,Tier 3,Supermarket Type1,2157.19
FDI57,19.85,Low Fat,0.05,Seafood,196.88,OUT013,1987,High,Tier 3,Supermarket Type1,2562
FDM45,8.655,Regular,0.09,Snack Foods,119.78,OUT013,1987,High,Tier 3,Supermarket Type1,2059.99
FDB26,14,Regular,0.03,Canned,51.46,OUT046,1997,Small,Tier 1,Supermarket Type1,692.43
FDZ25,,Regular,0.03,Canned,169.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,5602.71
NCN26,10.85,Low Fat,0.03,Household,117.18,OUT045,2002,,Tier 2,Supermarket Type1,703.08
FDO38,17.25,Low Fat,0.07,Canned,77.3,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.68
FDG31,12.15,Low Fat,0.06,Meat,65.48,OUT010,1998,,Tier 3,Grocery Store,258.33
FDI45,13.1,Low Fat,0.04,Fruits and Vegetables,176.11,OUT013,1987,High,Tier 3,Supermarket Type1,4027.42
FDE17,20.1,Regular,0.06,Frozen Foods,152.24,OUT045,2002,,Tier 2,Supermarket Type1,2418.19
NCG06,16.35,Low Fat,0.03,Household,257.66,OUT046,1997,Small,Tier 1,Supermarket Type1,2061.32
FDQ57,,Low Fat,0.05,Snack Foods,144.48,OUT019,1985,Small,Tier 1,Grocery Store,146.48
NCP29,8.42,Low Fat,0.11,Health and Hygiene,65.82,OUT018,2009,Medium,Tier 3,Supermarket Type2,830.92
FDM02,12.5,Regular,0.12,Canned,86.02,OUT010,1998,,Tier 3,Grocery Store,87.22
FDR46,16.85,Low Fat,0.14,Snack Foods,147.48,OUT046,1997,Small,Tier 1,Supermarket Type1,2929.52
FDE50,,Regular,0.02,Canned,189.36,OUT027,1985,Medium,Tier 3,Supermarket Type3,2253.07
FDS16,15.15,Regular,0.07,Frozen Foods,145.68,OUT013,1987,High,Tier 3,Supermarket Type1,3661.9
FDU15,13.65,Regular,0.03,Meat,37.95,OUT049,1999,Medium,Tier 1,Supermarket Type1,862.88
FDO09,13.5,Regular,0.13,Snack Foods,262.19,OUT045,2002,,Tier 2,Supermarket Type1,6048.79
FDB40,17.5,Regular,0.01,Dairy,145.91,OUT045,2002,,Tier 2,Supermarket Type1,2187.15
DRN11,7.85,Low Fat,0.16,Hard Drinks,145.24,OUT046,1997,Small,Tier 1,Supermarket Type1,1451.44
FDF04,17.5,Low Fat,0.01,Frozen Foods,256.43,OUT035,2004,Small,Tier 2,Supermarket Type1,1808.31
FDE41,9.195,Regular,0.06,Frozen Foods,83.16,OUT017,2007,,Tier 2,Supermarket Type1,1099.24
FDW08,,Low Fat,0.15,Fruits and Vegetables,106.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,1810.98
NCD54,21.1,Low Fat,0.03,Household,143.48,OUT035,2004,Small,Tier 2,Supermarket Type1,2311.66
FDN34,15.6,Regular,0.05,Snack Foods,167.11,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.92
FDL39,16.1,Regular,0.06,Dairy,182.13,OUT013,1987,High,Tier 3,Supermarket Type1,2345.61
FDH33,12.85,Low Fat,0.12,Snack Foods,45.94,OUT018,2009,Medium,Tier 3,Supermarket Type2,1274.34
DRH23,14.65,Low Fat,0.17,Hard Drinks,54.06,OUT017,2007,,Tier 2,Supermarket Type1,1160.49
FDD21,10.3,Regular,0.03,Fruits and Vegetables,114.42,OUT035,2004,Small,Tier 2,Supermarket Type1,2633.9
FDK60,16.5,Regular,0,Baking Goods,96.21,OUT046,1997,Small,Tier 1,Supermarket Type1,3013.41
FDY12,9.8,Regular,0.14,Baking Goods,49.8,OUT046,1997,Small,Tier 1,Supermarket Type1,809.61
FDP11,15.85,Low Fat,0.07,Breads,218.72,OUT035,2004,Small,Tier 2,Supermarket Type1,1088.58
FDC21,,Regular,0.08,Fruits and Vegetables,108.43,OUT019,1985,Small,Tier 1,Grocery Store,217.05
NCF54,18,Low Fat,0.05,Household,172.64,OUT017,2007,,Tier 2,Supermarket Type1,2931.52
FDV43,16,Low Fat,0.08,Fruits and Vegetables,46.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,490.69
DRC36,,Regular,0.05,Soft Drinks,173.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,5778.48
NCW42,18.2,Low Fat,0.06,Household,220.75,OUT017,2007,,Tier 2,Supermarket Type1,4420.91
FDL13,,Regular,0.1,Breakfast,232.73,OUT019,1985,Small,Tier 1,Grocery Store,932.12
FDV22,14.85,Regular,0.01,Snack Foods,157.46,OUT013,1987,High,Tier 3,Supermarket Type1,2503.41
NCB43,,Low Fat,0.1,Household,187.89,OUT027,1985,Medium,Tier 3,Supermarket Type3,7296.5
FDQ46,7.51,Low Fat,0.1,Snack Foods,110.15,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.51
FDC44,15.6,Low Fat,0,Fruits and Vegetables,111.95,OUT049,1999,Medium,Tier 1,Supermarket Type1,2163.18
FDB22,8.02,Low Fat,0.11,Snack Foods,154.4,OUT035,2004,Small,Tier 2,Supermarket Type1,3383.6
FDV23,11,Low Fat,0.11,Breads,124.4,OUT045,2002,,Tier 2,Supermarket Type1,2241.08
FDK10,,Regular,0.04,Snack Foods,181.17,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415.55
FDL33,7.235,Low Fat,0.1,Snack Foods,193.85,OUT046,1997,Small,Tier 1,Supermarket Type1,1957.45
FDD20,,Low Fat,0.02,Fruits and Vegetables,126.4,OUT027,1985,Medium,Tier 3,Supermarket Type3,5353.7
NCM54,,Low Fat,0.05,Household,125.67,OUT027,1985,Medium,Tier 3,Supermarket Type3,4832.38
FDW48,18,Low Fat,0.01,Baking Goods,81.06,OUT017,2007,,Tier 2,Supermarket Type1,1450.11
NCM06,7.475,Low Fat,0.08,Household,155.27,OUT045,2002,,Tier 2,Supermarket Type1,2934.85
FDT46,11.35,Low Fat,0.03,Snack Foods,49.8,OUT045,2002,,Tier 2,Supermarket Type1,708.41
FDT38,18.7,Low Fat,0.06,Dairy,83.16,OUT045,2002,,Tier 2,Supermarket Type1,1606.58
FDO40,17.1,Low Fat,0.03,Frozen Foods,147.14,OUT017,2007,,Tier 2,Supermarket Type1,2237.09
FDP12,9.8,Regular,0.05,Baking Goods,36.99,OUT046,1997,Small,Tier 1,Supermarket Type1,705.75
FDI44,,Low Fat,0.1,Fruits and Vegetables,75.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,1544.66
FDG16,15.25,Low Fat,0.09,Frozen Foods,213.72,OUT013,1987,High,Tier 3,Supermarket Type1,1078.6
FDY11,6.71,Regular,0.03,Baking Goods,67.51,OUT013,1987,High,Tier 3,Supermarket Type1,593.23
FDY60,10.5,Regular,0.03,Baking Goods,144.81,OUT017,2007,,Tier 2,Supermarket Type1,2157.19
NCM05,,Low Fat,0.06,Health and Hygiene,263.72,OUT027,1985,Medium,Tier 3,Supermarket Type3,6872.39
FDA49,,Low Fat,0.11,Canned,89.02,OUT019,1985,Small,Tier 1,Grocery Store,174.44
FDY52,,Low Fat,0.01,Frozen Foods,59.35,OUT019,1985,Small,Tier 1,Grocery Store,122.51
FDJ02,,Regular,0.04,Canned,147.24,OUT019,1985,Small,Tier 1,Grocery Store,294.28
FDW40,14,Regular,0.11,Frozen Foods,143.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,1139.85
FDY08,9.395,Regular,0.17,Fruits and Vegetables,139.98,OUT017,2007,,Tier 2,Supermarket Type1,1966.77
FDM21,,Low Fat,0.06,Snack Foods,256.16,OUT027,1985,Medium,Tier 3,Supermarket Type3,7472.27
NCM42,6.13,Low Fat,0.03,Household,110.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,1637.87
NCD07,9.1,Low Fat,0,Household,114.45,OUT046,1997,Small,Tier 1,Supermarket Type1,1593.93
FDD09,13.5,Low Fat,0,Fruits and Vegetables,180,OUT013,1987,High,Tier 3,Supermarket Type1,4889.64
DRH59,10.8,low fat,0,Hard Drinks,72.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.62
DRA24,19.35,Regular,0.04,Soft Drinks,164.69,OUT017,2007,,Tier 2,Supermarket Type1,1146.51
FDY36,,Low Fat,0.01,Baking Goods,74.24,OUT027,1985,Medium,Tier 3,Supermarket Type3,1171.81
FDG34,11.5,Regular,0.04,Snack Foods,106.93,OUT013,1987,High,Tier 3,Supermarket Type1,3038.71
FDK22,9.8,Low Fat,0.03,Snack Foods,215.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,649.16
FDO33,14.75,Low Fat,0.09,Snack Foods,115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,1821.63
FDD46,,Low Fat,0.25,Snack Foods,152.4,OUT019,1985,Small,Tier 1,Grocery Store,153.8
FDU34,18.25,Low Fat,0.08,Snack Foods,123.8,OUT017,2007,,Tier 2,Supermarket Type1,3486.13
FDA26,7.855,Regular,0.07,Dairy,218.45,OUT035,2004,Small,Tier 2,Supermarket Type1,4819.06
FDP38,10.1,Low Fat,0.03,Canned,52.2,OUT017,2007,,Tier 2,Supermarket Type1,759.01
FDA50,16.25,Low Fat,0.09,Dairy,94.94,OUT017,2007,,Tier 2,Supermarket Type1,1737.74
FDY10,17.6,Low Fat,0.05,Snack Foods,115.62,OUT046,1997,Small,Tier 1,Supermarket Type1,2519.39
FDT19,7.59,Regular,0.15,Fruits and Vegetables,172.81,OUT018,2009,Medium,Tier 3,Supermarket Type2,2250.4
FDA28,16.1,Regular,0.05,Frozen Foods,127.44,OUT046,1997,Small,Tier 1,Supermarket Type1,2265.05
FDB05,5.155,Low Fat,0.08,Frozen Foods,246.08,OUT046,1997,Small,Tier 1,Supermarket Type1,990.71
FDK45,,Low Fat,0.06,Seafood,111.59,OUT019,1985,Small,Tier 1,Grocery Store,339.56
FDR48,11.65,Low Fat,0,Baking Goods,152.6,OUT035,2004,Small,Tier 2,Supermarket Type1,303.6
FDY15,18.25,Regular,0.17,Dairy,154.46,OUT035,2004,Small,Tier 2,Supermarket Type1,2190.48
FDM51,11.8,Regular,0.03,Meat,102.27,OUT049,1999,Medium,Tier 1,Supermarket Type1,2444.82
FDW09,13.65,Regular,0.03,Snack Foods,81.13,OUT013,1987,High,Tier 3,Supermarket Type1,792.3
FDV44,8.365,Regular,0.04,Fruits and Vegetables,191.32,OUT049,1999,Medium,Tier 1,Supermarket Type1,1713.77
NCP43,17.75,Low Fat,0.03,Others,180.37,OUT046,1997,Small,Tier 1,Supermarket Type1,2336.96
FDL26,18,Low Fat,0.07,Canned,157.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,778.99
DRM35,9.695,Low Fat,0.07,Hard Drinks,177.73,OUT017,2007,,Tier 2,Supermarket Type1,1605.91
DRD15,10.6,Low Fat,0.06,Dairy,233.96,OUT045,2002,,Tier 2,Supermarket Type1,3717.83
FDV04,7.825,Regular,0.15,Frozen Foods,156.93,OUT045,2002,,Tier 2,Supermarket Type1,1571.29
FDG46,,Regular,0.03,Snack Foods,112.15,OUT027,1985,Medium,Tier 3,Supermarket Type3,5351.03
NCN05,8.235,Low Fat,0.01,Health and Hygiene,182.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,3661.9
FDO58,19.6,Low Fat,0.04,Snack Foods,163.65,OUT013,1987,High,Tier 3,Supermarket Type1,1151.17
DRH49,,Low Fat,0.04,Soft Drinks,82.86,OUT019,1985,Small,Tier 1,Grocery Store,165.12
NCZ05,8.485,Low Fat,0.06,Health and Hygiene,104.5,OUT035,2004,Small,Tier 2,Supermarket Type1,1238.39
NCP54,15.35,Low Fat,0.04,Household,122.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,2832.98
FDF57,14.5,Regular,0.06,Fruits and Vegetables,172.24,OUT046,1997,Small,Tier 1,Supermarket Type1,2897.56
FDA02,14,Regular,0.03,Dairy,143.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.87
DRJ37,10.8,Low Fat,0.06,Soft Drinks,150.4,OUT017,2007,,Tier 2,Supermarket Type1,2884.25
NCP55,14.65,Low Fat,0.01,Others,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,221.05
FDW45,,Low Fat,0.04,Snack Foods,147.74,OUT027,1985,Medium,Tier 3,Supermarket Type3,1618.56
FDK38,6.65,Low Fat,0.05,Canned,149.37,OUT045,2002,,Tier 2,Supermarket Type1,296.95
NCZ30,6.59,Low Fat,0.04,Household,121.41,OUT010,1998,,Tier 3,Grocery Store,241.02
FDK08,,Regular,0.21,Fruits and Vegetables,102.4,OUT019,1985,Small,Tier 1,Grocery Store,202.4
NCG19,20.25,Low Fat,0.15,Household,234.86,OUT013,1987,High,Tier 3,Supermarket Type1,2812.34
FDQ01,19.7,Regular,0.16,Canned,254.1,OUT045,2002,,Tier 2,Supermarket Type1,4845.03
FDL44,18.25,Low Fat,0.01,Fruits and Vegetables,160.29,OUT035,2004,Small,Tier 2,Supermarket Type1,3235.79
DRM23,16.6,Low Fat,0.14,Hard Drinks,170.64,OUT035,2004,Small,Tier 2,Supermarket Type1,1379.54
NCE18,10,Low Fat,0.02,Household,251.68,OUT045,2002,,Tier 2,Supermarket Type1,4244.48
DRZ24,7.535,Low Fat,0.08,Soft Drinks,118.34,OUT017,2007,,Tier 2,Supermarket Type1,3115.94
FDT48,4.92,Low Fat,0.05,Baking Goods,196.51,OUT049,1999,Medium,Tier 1,Supermarket Type1,3769.76
DRG11,6.385,Low Fat,0,Hard Drinks,108.96,OUT046,1997,Small,Tier 1,Supermarket Type1,1186.46
FDP60,17.35,Low Fat,0.06,Baking Goods,102,OUT017,2007,,Tier 2,Supermarket Type1,1619.23
FDC32,18.35,Low Fat,0.1,Fruits and Vegetables,91.45,OUT045,2002,,Tier 2,Supermarket Type1,1665.83
NCH18,9.3,Low Fat,0.05,Household,246.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,2702.48
DRE37,,Low Fat,0.17,Soft Drinks,189.49,OUT019,1985,Small,Tier 1,Grocery Store,189.09
DRC13,8.26,Regular,0.03,Soft Drinks,124.87,OUT035,2004,Small,Tier 2,Supermarket Type1,2956.15
FDG47,12.8,Low Fat,0.07,Starchy Foods,260.33,OUT046,1997,Small,Tier 1,Supermarket Type1,8132.08
NCT05,10.895,Low Fat,0.02,Health and Hygiene,255.67,OUT045,2002,,Tier 2,Supermarket Type1,4346.34
FDN50,16.85,Regular,0.03,Canned,93.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,466.06
FDU60,20,Regular,0.1,Baking Goods,169.61,OUT010,1998,,Tier 3,Grocery Store,169.11
FDX02,16,Low Fat,0.06,Dairy,225.04,OUT013,1987,High,Tier 3,Supermarket Type1,5851.05
NCO41,,Low Fat,0.02,Health and Hygiene,96.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,2167.84
FDQ59,9.8,Regular,0.06,Breads,85.89,OUT045,2002,,Tier 2,Supermarket Type1,1845.6
NCZ53,9.6,Low Fat,0.03,Health and Hygiene,186.62,OUT018,2009,Medium,Tier 3,Supermarket Type2,1884.21
FDD34,7.945,Low Fat,0.02,Snack Foods,161.42,OUT045,2002,,Tier 2,Supermarket Type1,3425.54
FDY43,14.85,Low Fat,0.1,Fruits and Vegetables,169.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,673.79
FDN44,13.15,Low Fat,0.02,Fruits and Vegetables,157.89,OUT017,2007,,Tier 2,Supermarket Type1,1917.5
FDD32,17.7,Regular,0.04,Fruits and Vegetables,82.63,OUT013,1987,High,Tier 3,Supermarket Type1,731.05
FDA56,9.21,Low Fat,0.01,Fruits and Vegetables,123.14,OUT046,1997,Small,Tier 1,Supermarket Type1,4264.45
FDT13,14.85,Low Fat,0.02,Canned,188.22,OUT035,2004,Small,Tier 2,Supermarket Type1,3014.74
NCY29,13.65,Low Fat,0.08,Health and Hygiene,55.59,OUT013,1987,High,Tier 3,Supermarket Type1,282.97
NCA42,6.965,Low Fat,0,Household,159.66,OUT045,2002,,Tier 2,Supermarket Type1,3327.67
FDG26,18.85,Low Fat,0.04,Canned,257.83,OUT035,2004,Small,Tier 2,Supermarket Type1,5382.99
FDH24,20.7,Low Fat,0.02,Baking Goods,156.53,OUT035,2004,Small,Tier 2,Supermarket Type1,1571.29
FDT52,9.695,Regular,0.05,Frozen Foods,244.61,OUT017,2007,,Tier 2,Supermarket Type1,2695.16
FDT04,17.25,Low Fat,0.11,Frozen Foods,39.38,OUT017,2007,,Tier 2,Supermarket Type1,314.26
NCL54,12.6,Low Fat,0.08,Household,175.21,OUT045,2002,,Tier 2,Supermarket Type1,3502.11
FDQ32,17.85,Regular,0.05,Fruits and Vegetables,123.84,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.87
FDE29,8.905,Low Fat,0.14,Frozen Foods,58.89,OUT046,1997,Small,Tier 1,Supermarket Type1,1151.17
FDB37,20.25,Regular,0.02,Baking Goods,240.75,OUT013,1987,High,Tier 3,Supermarket Type1,3364.95
FDN46,7.21,Regular,0.15,Snack Foods,100.53,OUT049,1999,Medium,Tier 1,Supermarket Type1,1127.87
FDV28,16.1,Regular,0.27,Frozen Foods,34.96,OUT010,1998,,Tier 3,Grocery Store,67.91
FDW37,,Low Fat,0.12,Canned,89.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,1901.52
FDV40,17.35,Low Fat,0.02,Frozen Foods,74.5,OUT035,2004,Small,Tier 2,Supermarket Type1,739.04
FDZ57,10,Regular,0.04,Snack Foods,129.7,OUT018,2009,Medium,Tier 3,Supermarket Type2,1413.49
FDY46,18.6,Low Fat,0.05,Snack Foods,185.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2993.44
FDX45,16.75,Low Fat,0.11,Snack Foods,155.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,1721.09
FDB33,17.75,Low Fat,0.02,Fruits and Vegetables,160.73,OUT035,2004,Small,Tier 2,Supermarket Type1,2864.27
FDT58,9,Low Fat,0.14,Snack Foods,169.48,OUT010,1998,,Tier 3,Grocery Store,503.34
NCL31,7.39,Low Fat,0.12,Others,142.75,OUT046,1997,Small,Tier 1,Supermarket Type1,3149.23
FDJ44,12.3,Regular,0.11,Fruits and Vegetables,176.14,OUT013,1987,High,Tier 3,Supermarket Type1,3663.23
FDS50,17,Low Fat,0.06,Dairy,220.51,OUT045,2002,,Tier 2,Supermarket Type1,5321.07
FDO50,16.25,Low Fat,0,Canned,90.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1653.85
FDU20,,Regular,0.02,Fruits and Vegetables,122.11,OUT027,1985,Medium,Tier 3,Supermarket Type3,3374.27
DRK13,11.8,Low Fat,0.12,Soft Drinks,199.81,OUT046,1997,Small,Tier 1,Supermarket Type1,2380.9
FDI20,19.1,Low Fat,0.04,Fruits and Vegetables,212.16,OUT045,2002,,Tier 2,Supermarket Type1,5909.64
FDG17,6.865,Regular,0.04,Frozen Foods,244.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,6353.06
NCK29,,Low Fat,0,Health and Hygiene,123.47,OUT019,1985,Small,Tier 1,Grocery Store,369.52
FDM32,20.5,Low Fat,0,Fruits and Vegetables,90.88,OUT010,1998,,Tier 3,Grocery Store,89.88
FDC51,10.895,Regular,0.01,Dairy,121.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,2463.46
FDF16,7.3,Low Fat,0.09,Frozen Foods,147.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.5
FDI46,9.5,Low Fat,0.07,Snack Foods,251.97,OUT045,2002,,Tier 2,Supermarket Type1,2516.72
FDZ21,17.6,Regular,0.04,Snack Foods,97.34,OUT013,1987,High,Tier 3,Supermarket Type1,965.41
FDR32,,Regular,0.09,Fruits and Vegetables,226.77,OUT027,1985,Medium,Tier 3,Supermarket Type3,6165.97
DRF25,9,Low Fat,0.04,Soft Drinks,34.92,OUT046,1997,Small,Tier 1,Supermarket Type1,476.05
FDH05,14.35,Regular,0.09,Frozen Foods,233.6,OUT045,2002,,Tier 2,Supermarket Type1,1853.59
FDD52,18.25,Regular,0.18,Dairy,110.16,OUT018,2009,Medium,Tier 3,Supermarket Type2,1867.57
FDR55,12.15,Regular,0.13,Fruits and Vegetables,190.69,OUT017,2007,,Tier 2,Supermarket Type1,2269.05
FDP04,15.35,Low Fat,0.01,Frozen Foods,65.22,OUT045,2002,,Tier 2,Supermarket Type1,958.75
FDQ14,9.27,Low Fat,0.06,Dairy,147.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,1647.86
DRN59,15,Low Fat,0.06,Hard Drinks,45.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,792.3
NCR06,12.5,Low Fat,0.01,Household,42.81,OUT013,1987,High,Tier 3,Supermarket Type1,639.17
FDB58,10.5,Regular,0.01,Snack Foods,142.02,OUT018,2009,Medium,Tier 3,Supermarket Type2,2410.86
NCV41,14.35,Low Fat,0.02,Health and Hygiene,112.52,OUT046,1997,Small,Tier 1,Supermarket Type1,1989.41
FDW19,12.35,Regular,0.04,Fruits and Vegetables,110.66,OUT017,2007,,Tier 2,Supermarket Type1,2087.28
FDO56,10.195,Regular,0.08,Fruits and Vegetables,119.18,OUT010,1998,,Tier 3,Grocery Store,351.54
FDN10,11.5,Low Fat,0,Snack Foods,119.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.59
FDY20,12.5,Regular,0.08,Fruits and Vegetables,92.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,1358.23
FDV34,10.695,Regular,0.01,Snack Foods,72.9,OUT045,2002,,Tier 2,Supermarket Type1,1034.65
